shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
2-1-2,41.7835923154802,140.778361568614,2
2-1-2,41.78414,140.7766,3
2-1-2,41.7842983229547,140.776135364233,4
2-1-2,41.7844630674442,140.775743732616,5
2-1-2,41.7848218241598,140.774976620838,6
2-1-2,41.7852425717208,140.77415044226,7
2-1-2,41.7857980658047,140.772975634711,8
2-1-2,41.78708,140.7701,9
2-1-2,41.7873080197215,140.769545905849,10
2-1-2,41.7878130110735,140.767286609541,11
2-1-2,41.7879,140.7655,12
2-1-2,41.787957730762,140.764431371416,13
2-1-2,41.78862,140.7594,14
2-1-2,41.7886917018644,140.758806428255,15
2-1-2,41.7887609463995,140.757808704703,16
2-1-2,41.788935431387,140.755071043968,17
2-1-2,41.78914,140.7531,18
2-1-2,41.7892534586465,140.751854986409,19
2-1-2,41.7892299149582,140.751696854128,20
2-1-2,41.7891729172243,140.751621752276,21
2-1-2,41.7891121684367,140.751582510212,22
2-1-2,41.7867,140.751,23
2-1-2,41.7858903075255,140.750787907028,24
2-1-2,41.7857275659879,140.750634670258,25
2-1-2,41.78401,140.7485,26
2-1-2,41.78086,140.7446,27
2-1-2,41.77798,140.7409,28
2-1-2,41.77618,140.7387,29
2-1-2,41.77397,140.7359,30
2-1-2,41.7727981764244,140.734448413522,31
2-1-2,41.77168,140.7334,32
2-1-2,41.7712160196725,140.732953432028,33
2-1-2,41.7711474063649,140.732806872504,34
2-1-2,41.7711514288974,140.732670954513,35
2-1-2,41.7716044947871,140.731285214424,36
2-1-2,41.7724213941356,140.72895166348,37
2-1-2,41.7726146832959,140.72835624218,38
2-1-2,41.7726251367468,140.728199128424,39
2-1-2,41.772584170735,140.728063035829,40
2-1-2,41.77247,140.728,41
2-1-2,41.770978375166,140.726945371137,42
2-1-2,41.769385,140.725577142857,43
2-1-2,41.7680316685644,140.724234590694,44
2-1-2,41.7673757301915,140.723555117144,45
2-1-2,41.7668358432162,140.723049025209,46
2-1-2,41.76664,140.7228,47
2-1-2,41.7657058202837,140.721677367129,48
2-1-2,41.7652633579304,140.721115474265,49
2-1-2,41.7648742758194,140.720472297014,50
2-1-2,41.7644639264185,140.71966401923,51
2-1-2,41.7644633333334,140.719671428572,52
2-1-2,41.7642202161947,140.719060578755,53
2-1-2,41.7640678756814,140.718465273857,54
2-1-2,41.7639657255296,140.71836775401,55
2-1-2,41.7638511756055,140.718360785757,56
2-1-2,41.76114,140.7199,57
2-1-2,41.7608103804443,140.720066554288,58
2-1-2,41.7596542416067,140.720928421348,59
2-1-2,41.7594648238326,140.720911830084,60
2-1-2,41.7584582242086,140.720584949793,61
2-1-2,41.7582945449551,140.720489790399,62
2-1-2,41.75651,140.718534285714,63
2-1-2,41.7553224822064,140.717182741438,64
2-1-2,41.7552303081734,140.717130293683,65
