direction,stop_sequence,stop_name
0,1,函館大学前
0,2,戸倉ケ丘団地入口
0,3,函館高専前
0,4,電話交換局前
0,5,湯倉神社前
0,6,湯川中学校前
0,7,学園前
0,8,日吉町１丁目
0,9,花園町
0,10,花園団地通
0,11,東本通
0,12,白百合学園前
0,13,東山団地
0,14,東山公園
0,15,神山通
0,16,中央小学校前
0,17,亀田支所前
0,18,函館地方気象台
0,19,渡島総合振興局前
0,20,美原３丁目
0,21,附属中学校前
0,22,特別支援学校前
0,23,北美原小学校前
0,24,美原台東
0,25,美原台団地入口
0,26,美原台団地
0,27,北美原２丁目
0,28,石川町第一公園
0,29,函館石川郵便局
0,30,支援学校入口
0,31,函館高等支援学校
0,32,湯元花の湯前
0,33,ＮＣＶ函館センター
0,34,桔梗中通
0,35,林業試験場前
0,36,桔梗福祉交流センター
0,37,松原通
0,38,南大川
0,39,中央大川
0,40,大川
0,41,北大川
0,42,大川２号橋
0,43,町民ｾﾝﾀｰ・ｺﾓﾝ前
0,44,見晴通入口
0,45,武佐川橋
0,46,湯出川２号橋
0,47,上大中山
0,48,桜岡
0,49,鳴川
0,50,七飯
0,51,七飯役場通
0,52,七飯役場前
0,53,アカシヤ団地
0,54,ななえ新病院
